codigo;empresas;caminhos
20008;Cintia Garcia Mesquita Mendes Comercio;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20008\Saida\2024\Maio
20010;P&C DISTRIBUIDORA DE AUTO PECAS LIMITADA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20010\Saida\2024\Maio
20013;30.595.671 NILSON DANTAS DE OLIVEIRA;C:\Troca de arquivos Unico\TI\Gabriel
20016;JULIANO PEREIRA DE CARVALHO 32449189807;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20016\Saida\2024\Maio
20017;ALL SERIES II COMERCIO DE SOM ACESSORIOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20017\Saida\2024\Maio
20020;SHOPNEGOCIOS - PRODUTOS E ACESSORIOS PARA PISCINAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20020\Saida\2024\Maio
20023;BENNU COMERCIO DE VESTUARIOS, CALCADOS E ACESSORIOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20024;MELHOR COMPRA R&V LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20025;TOP BUY VU LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20025\Saida\2024\Maio
20030;AUTORIZADA PECAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20032;PRO RACE MOTO STORE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20032\Saida\2024\Maio
20033;FARIA COMERCIO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20034;49.960.358 DANIELE DE OLIVEIRA FERREIRA;C:\Troca de arquivos Unico\TI\Gabriel
20035;C&R COMERCIO DE MOTO PECAS, IMPORTACAO E EXPORTACAO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20036;DOMA COMERCIO DE PECAS AUTOMOTIVAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20040;ABDA ELISA RIBEIRO BEZERRA - CARUARU;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20040\Saida\2024\Maio
20041;ABDA ELISA RIBEIRO BEZERRA - CARUARU;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20041\Saida\2024\Maio
20042;46.375.665 FERNANDA ARAUJO DE SOUZA;C:\Troca de arquivos Unico\TI\Gabriel
20045;BRAVOX IMPORTS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20047;JPG COMERCIO E VARIEDADES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20048;GOLD SAND COMERCIAL LTDA.;C:\Troca de arquivos Unico\TI\Gabriel
20049;ROCKET LIMA ECOMMERCE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20049\Saida\2024\Maio
20051;BABY CENTRAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20051\Saida\2024\Maio
